neutral	oid	case_name	nw_cite	witnesses	status	notes	sample_context
2020 ND 30	19554	State v. Thomas	938 N.W.2d 897	22	AUTO		inal judgment from which an appeal may be immediately taken.” State v. Thomas, 2020 ND 30, ¶ 16 , 93
2022 ND 44	19702	State v. Gaddie	971 N.W.2d 811	21	AUTO		.D.R.Crim.P. 52(b) does not apply to waived or invited errors. State v. Gaddie, 2022 ND 44, ¶ 4, 971
2010 ND 152	18742	State v. Hammer	787 N.W.2d 716	17	AUTO		f the Fourth Amendment, a warrant generally must be obtained. *State v. Hammer,*2010 ND 152, ¶ 11, 7
2018 ND 12	19245	State v. Kostelecky	906 N.W.2d 77	17	HOLD	WINDOW:NO_WINDOW	n through misapplication or misinterpretation of the law. State v. Kostelecky, 2018 ND 12, ¶ 6, 906 
2022 ND 136	19650	Berdahl v. Berdahl	977 N.W.2d 294	17	AUTO		of fact and will not be reversed unless clearly erroneous. Berdahl v. Berdahl, 2022 ND 136, ¶ 9, 977
2018 ND 23	19276	Kautzman, et al. v. Doll	905 N.W.2d 744	16	HOLD	WINDOW:NO_WINDOW	Dakota law does not formally recognize motions to reconsider. Kautzman v. Doll, 2018 ND 23, ¶ 9, 905
2018 ND 56	19325	State v. Rende	907 N.W.2d 361	16	HOLD	WINDOW:NO_WINDOW	rsal’ regardless of whether [it was] forfeited or waived.” Id.; State v. Rende, 2018 ND 56, ¶ 8, 907
2022 ND 203	19685	Buchholz v. Overboe	982 N.W.2d 275	15	AUTO		ly or individually, is 1 considered marital property.” Buchholz v. Buchholz, 2022 ND 203 , ¶ 13, 982
2018 ND 53	19322	Tuhy v. Tuhy	907 N.W.2d 351	14	HOLD	WINDOW:NO_WINDOW	"relief from a judgment or order under N.D.R.Civ.P. 60(b)."" *Tuhy v. Tuhy* , 2018 ND 53 , ¶ 20, 907 N"
2020 ND 224	19522	Hunter v. State	949 N.W.2d 841	14	AUTO		nts with allegations of ineffective assistance of counsel. See Hunter v. State, 2020 ND 224 , ¶¶ 5-8
2024 ND 67	20040	Urrabazo v. State	5 N.W.3d 521	14	AUTO		ing are subject to the clearly erroneous standard of review. Urrabazo v. State, 2024 ND 67, ¶ 6, 5 N
2022 ND 147	19659	Bridges v. State (consolidated w/2022007	977 N.W.2d 718	13	AUTO		e and governed by the North Dakota Rules of Civil Procedure.” Bridges v. State, 2022 ND 147, ¶ 5 , 9
2018 ND 34	19301	Cindie Innis-Smith v. Terry Smith	905 N.W.2d 914	12	HOLD	WINDOW:NO_WINDOW	inite and firm conviction a mistake has been made. *Innis-Smith v. Smith* , 2018 ND 34 , ¶ 7, 905 N.
2024 ND 47	20018	State v. Glaum	4 N.W.3d 540	12	AUTO		postconviction proceeding where an adequate record can be made. State v. Glaum, 2024 ND 47, ¶ 16, 4 
2015 ND 22	19080	Rath v. Rath (Cross-ref. w/20130025, 201	861 N.W.2d 172	11	AUTO	SHARED:['2015 ND 22', '2015 ND 25', '2015 ND 27', '2015 ND 48', '2015 ND 49', '2015 ND 51', '2015 ND 53', '2015 ND 54']	me of which have been previously addressed by this Court. *See Rath v. Rath,* 2015 ND 22, 861 N.W.2d
2018 ND 21	19274	Thompson v. Thompson	905 N.W.2d 772	11	HOLD	WINDOW:NO_WINDOW	support unless the findings are clearly erroneous. *Thompson v. Thompson* , 2018 ND 21 , ¶ 29, 905 N
2019 ND 230	19379	Larson, et al. v. Tonneson, et al.	933 N.W.2d 84	11	HOLD	WINDOW:NO_WINDOW	dence, this Court is convinced a mistake has been made. See Larson v. Tonneson, 2019 ND 230, ¶ 10, 9
2020 ND 267	19548	McCarvel, et al. v. Perhus, et al.	952 N.W.2d 86	11	HOLD	CONFLICT:['952 N.W.2d 1', '952 N.W.2d 86']	ons. Findings of the trial court are presumptively correct. McCarvel v. Perhus, 2020 ND 267, ¶ 9, 95
2024 ND 110	19853	State v. Studhorse	7 N.W.3d 253	11	HOLD	WINDOW:NO_WINDOW	judicially noticing the criminal file and everything in it. State v. Studhorse, 2024 ND 110, ¶ 25, 7
2010 ND 226	18772	Everett v. State (cross-reference 200800	795 N.W.2d 37	10	AUTO	SHARED:['2010 ND 190', '2010 ND 209', '2010 ND 226']	t applications for post-conviction relief were also affirmed. Everett v. State, 2010 ND 226, 795 N.W
2018 ND 59	19328	Koenig v. State	907 N.W.2d 344	10	HOLD	WINDOW:NO_WINDOW	nal mental process leading to a reasoned determination. *Koenig v. State* , 2018 ND 59 , ¶ 7, 907 N.
2020 ND 179	19506	Wilkinson, et al. v. Board of University	947 N.W.2d 910	10	AUTO		. 54(b). [¶8] “The right to appeal is statutory.” Wilkinson v. Board of Univ., 2020 ND 179, ¶ 11, 94
2022 ND 149	19661	State v. Pendleton	978 N.W.2d 641	10	HOLD	WINDOW:NO_WINDOW	closure Waller findings sufficient to justify the closure. State v. Pendleton, 2022 ND 149, ¶ 4 , 97
