citing_opinion_id,citation,antecedent_name,candidate_oids
20350,2022 ND 123,Interest of A.C.,18040|18052
20361,2023 ND 53,Goetz v. Goetz,19722|20385
20361,988 N.W.2d 553,Goetz v. Goetz,19722|20385
20374,2022 ND 123,Interest of A.C.,18040|18052
20334,2005 ND 180,L.C.V. v. D.E.G.,14359|14360
20334,705 N.W.2d 257,L.C.V. v. D.E.G.,14359|14360
20334,2010 ND 43,State ex rel. N.D. Dep’t of Labor v. Riemers,15368|15369
20334,779 N.W.2d 649,State ex rel. N.D. Dep’t of Labor v. Riemers,15368|15369
20343,2022 ND 123,,18040|18052
20338,2022 ND 123,In re A.C.,18040|18052
20192,2022 ND 123,In re A.C.,18040|18052
20197,2017 ND 13,Matter of C.D.G.E.,16834|16835
20197,889 N.W.2d 863,Matter of C.D.G.E.,16834|16835
20169,2000 ND 129,In re N.C.C.,13193|13194
20169,612 N.W.2d 561,In re N.C.C.,13193|13194
20167,2017 ND 13,In re C.D.G.E.,16834|16835
20167,889 N.W.2d 863,In re C.D.G.E.,16834|16835
20184,2010 ND 27,In re H.K.,15353|15354
20184,778 N.W.2d 764,In re H.K.,15353|15354
20156,2008 ND 130,In re E.W.F.,15009|15010
20156,751 N.W.2d 686,In re E.W.F.,15009|15010
20173,2007 ND 115,In re B.B.,14775|14776
20173,735 N.W.2d 855,In re B.B.,14775|14776
20117,2005 ND 106,Klindt v. Pembina Cnty. Water Res. Bd.,14256|14257
20117,697 N.W.2d 339,Klindt v. Pembina Cnty. Water Res. Bd.,14256|14257
20101,2000 ND 203,Logan v. Bush,13290|13291
20101,621 N.W.2d 314,Logan v. Bush,13290|13291
20095,2008 ND 185,Matter of R.A.S.,15061|15062
20095,756 N.W.2d 771,Matter of R.A.S.,15061|15062
20083,2001 ND 143,In re N.H.,13430|13431
20083,632 N.W.2d 451,In re N.H.,13430|13431
20289,140 N.W. 239,Seckerson v. Sinclair,1013|1014|1016
20298,1999 ND 219,In re L.A.G.,13022|13023
20298,602 N.W.2d 516,In re L.A.G.,13022|13023
20279,2008 ND 194,P.A. v. A.H.O.,15082|15083
20279,757 N.W.2d 58,P.A. v. A.H.O.,15082|15083
20270,2006 ND 56,In re G.R.H.,14479|14480
20270,711 N.W.2d 587,In re G.R.H.,14479|14480
20275,704 N.W.2d 573,State v. Oie,14341|14342
20273,2007 ND 111,In re J.C.,14785|14786
20273,736 N.W.2d 451,In re J.C.,14785|14786
20250,786 N.W.2d 706,S.H.B. v. T.A.H.,15479|15480
20248,2005 ND 180,L.C.V. v. D.E.G.,14359|14360
20248,705 N.W.2d 257,L.C.V. v. D.E.G.,14359|14360
20234,2004 ND 202,In re E.R.,14125|14126
20234,688 N.W.2d 384,In re E.R.,14125|14126
20255,2002 ND 137,U.S. Bank v. Koenig,13637|13638
20255,650 N.W.2d 820,U.S. Bank v. Koenig,13637|13638
19987,2000 ND 129,In re N.C.C.,13193|13194
19987,612 N.W.2d 561,In re N.C.C.,13193|13194
19986,2010 ND 9,In re B.B.,15325|15326
19986,777 N.W.2d 350,In re B.B.,15325|15326
19984,2007 ND 138,State v. Washington,14799|14800
19984,737 N.W.2d 382,State v. Washington,14799|14800
19953,2022 ND 123,In re A.C.,18040|18052
19950,2000 ND 189,Farstveet v. Rudolph,13246|13407
19926,2022 ND 123,Interest of A.C.,18040|18052
19926,1999 ND 195,In re A.M.,13010|13011
19926,601 N.W.2d 253,In re A.M.,13010|13011
19926,1998 ND 181,Interest of A.S.,12763|12764
19926,584 N.W.2d 853,Interest of A.S.,12763|12764
19913,2022 ND 123,Interest of A.C.,18040|18052
19901,2000 ND 203,Logan v. Bush,13290|13291
19901,621 N.W.2d 314,Logan v. Bush,13290|13291
19901,923 N.W.2d 137,,17377|17378
19909,2003 ND 34,In re T.H.,13744|13745
19909,657 N.W.2d 273,In re T.H.,13744|13745
19919,924 N.W.2d 87,,17421|17422
20073,2008 ND 194,P.A. v. A.H.O.,15082|15083
20073,757 N.W.2d 58,P.A. v. A.H.O.,15082|15083
19844,1997 ND 11,Estate of Brown,12365|12366
19844,559 N.W.2d 818,Estate of Brown,12365|12366
20063,2006 ND 19,In re M.B.,14410|14411
20063,709 N.W.2d 11,In re M.B.,14410|14411
20063,2009 ND 195,In re Conservatorship of T.K.,15297|15298
20063,775 N.W.2d 496,In re Conservatorship of T.K.,15297|15298
20050,960 N.W.2d 764,,17822|17823
20034,2022 ND 123,Interest of A.C.,18040|18052
20013,2010 ND 243,Inc.,15556|15557
20013,792 N.W.2d 911,Inc.,15556|15557
20024,969 N.W.2d 175,,17938|17939
19841,2002 ND 211,In re Estate of Gleeson,13708|13709
19841,655 N.W.2d 69,In re Estate of Gleeson,13708|13709
20017,2012 ND 91,Inc.,15846|15849
20017,816 N.W.2d 80,Inc.,15846|15849
20065,2000 ND 208,In re W.E.,13254|13255
20065,619 N.W.2d 494,In re W.E.,13254|13255
20065,1998 ND 129,In the Interest of L.F.,12709|12710
20065,580 N.W.2d 573,In the Interest of L.F.,12709|12710
20065,2007 ND 111,In re J.C.,14785|14786
20065,736 N.W.2d 451,In re J.C.,14785|14786
20065,2017 ND 13,In re C.D.G.E.,16834|16835
20065,889 N.W.2d 863,In re C.D.G.E.,16834|16835
20065,2008 ND 107,B.L.L. v. W.D.C.,14995|14996
20065,750 N.W.2d 466,B.L.L. v. W.D.C.,14995|14996
20065,2002 ND 164,In re K.S.,13657|13658
20065,652 N.W.2d 341,In re K.S.,13657|13658
20054,2009 ND 196,,15292|15293
20054,774 N.W.2d 645,,15292|15293
18227,2008 ND 185,In re R.A.S.,15061|15062
18227,756 N.W.2d 771,In re R.A.S.,15061|15062
18245,2008 ND 185,In re R.A.S.,15061|15062
18245,756 N.W.2d 771,In re R.A.S.,15061|15062
19808,2022 ND 123,Interest of A.C.,18040|18052
18231,2005 ND 180,L.C.V. v. D.E.G.,14359|14360
18231,705 N.W.2d 257,L.C.V. v. D.E.G.,14359|14360
18239,76 N.D. 205,Chester v. Einarson,9128|20391
19790,2006 ND 143,In re J.S.,14549|14550
19790,717 N.W.2d 598,In re J.S.,14549|14550
19782,2008 ND 194,P.A. v. A.H.O.,15082|15083
19782,757 N.W.2d 58,P.A. v. A.H.O.,15082|15083
19732,2004 ND 138,In re T.T.,14051|14052
19732,681 N.W.2d 779,In re T.T.,14051|14052
19731,2007 ND 83,In re A.S.,14756|14757
19731,733 N.W.2d 232,In re A.S.,14756|14757
18223,2007 ND 138,State v. Washington,14799|14800
18223,737 N.W.2d 382,State v. Washington,14799|14800
18222,985 N.W.2d 635,,18129|18130
18213,2000 ND 129,In re N.C.C.,13193|13194
18213,612 N.W.2d 561,In re N.C.C.,13193|13194
19734,2022 ND 123,Interest of A.C.,18040|18052
18204,2022 ND 123,Interest of A.C.,18040|18052
18202,1997 ND 96,L.C. v. R.P.,12440|12441
18202,563 N.W.2d 799,,12440|12441
18200,2022 ND 123,Interest of A.C.,18040|18052
19725,2002 ND 211,In re Estate of Gleeson,13708|13709
19725,655 N.W.2d 69,In re Estate of Gleeson,13708|13709
19724,2022 ND 123,Interest of A.C.,18040|18052
19727,2009 ND 152,In re Vantreece,15268|15269
19727,771 N.W.2d 585,,15268|15269
19727,2010 ND 8,In re Hanenberg,15331|15333
19727,777 N.W.2d 62,,15331|15332|15333
19727,2008 ND 185,In re R.A.S.,15061|15062
19727,756 N.W.2d 771,In re R.A.S.,15061|15062
19727,758 N.W.2d 909,In re Hanson,15112|15113
19712,2010 ND 8,Matter of Hanenberg,15331|15333
19712,777 N.W.2d 62,,15331|15332|15333
19712,2009 ND 152,Matter of Vantreece,15268|15269
19712,771 N.W.2d 585,,15268|15269
19712,2006 ND 56,In re G.R.H.,14479|14480
19712,711 N.W.2d 587,,14479|14480
19712,2006 ND 22,In re B.V.,14400|14401
19712,708 N.W.2d 877,,14400|14401
18199,972 N.W.2d 928,State,17993|17994
19832,2010 ND 28,In re Berger ex rel. K.C.F.,15350|15351
19832,778 N.W.2d 579,In re Berger ex rel. K.C.F.,15350|15351
19832,606 N.W.2d 117,In re C.J.C.,13078|13079
19736,2023 ND 53,Goetz v. Goetz,19722|20385
18175,1997 ND 96,R.P.,12440|12441
18175,563 N.W.2d 799,,12440|12441
19776,2004 ND 138,In re T.T.,14051|14052
19776,681 N.W.2d 779,In re T.T.,14051|14052
19776,2006 ND 219,In re Guardianship & Conservatorship of Thomas,14637|14638
19776,723 N.W.2d 384,In re Guardianship & Conservatorship of Thomas,14637|14638
19776,1999 ND 221,In re C.R.,13024|13025
19776,602 N.W.2d 520,In re C.R.,13024|13025
19776,2002 ND 111,In re R.K.,13592|13593
19776,646 N.W.2d 699,In re R.K.,13592|13593
18146,2006 ND 142,DeMers v. DeMers,14541|14542
18146,717 N.W.2d 545,DeMers v. DeMers,14541|14542
18145,2010 ND 8,,15331|15333
18145,777 N.W.2d 62,,15331|15332|15333
18145,2009 ND 152,,15268|15269
18145,771 N.W.2d 585,,15268|15269
19693,2008 ND 107,B.L.L. v. W.D.C.,14995|14996
19693,750 N.W.2d 466,B.L.L. v. W.D.C.,14995|14996
19693,2017 ND 13,In re C.D.G.E.,16834|16835
19693,889 N.W.2d 863,In re C.D.G.E.,16834|16835
19692,2022 ND 123,Interest of A.C.,18040|18052
18127,1997 ND 96,L.C. v. R.P.,12440|12441
18127,563 N.W.2d 799,L.C. v. R.P.,12440|12441
18097,2008 ND 9,In re J.S.,14888|14889
18097,743 N.W.2d 808,,14888|14889
18103,969 N.W.2d 442,Inc.,17947|17948
19685,2012 ND 257,MayPort Farmers Co-op v. St. Hilaire Seed Co.,15975|15976
19685,825 N.W.2d 883,MayPort Farmers Co-op v. St. Hilaire Seed Co.,15975|15976
19688,2006 ND 142,In DeMers v. DeMers,14541|14542
19688,717 N.W.2d 545,In DeMers v. DeMers,14541|14542
18069,2005 ND 216,In re A.B.,14386|14387
18069,707 N.W.2d 75,In re A.B.,14386|14387
18072,2006 ND 56,In re G.R.H.,14479|14480
18072,711 N.W.2d 587,In re G.R.H.,14479|14480
19670,2008 ND 210,In re Pederson Trust,15084|15085
19670,757 N.W.2d 740,In re Pederson Trust,15084|15085
18075,2006 ND 19,In re M.B.,14410|14411
18075,709 N.W.2d 11,,14410|14411
19676,2022 ND 123,,18040|18052
19658,969 N.W.2d 442,Inc.,17947|17948
19657,744 N.W.2d 724,In re P.F.,14899|14900
19711,2000 ND 129,In re N.C.C.,13193|13194
19711,612 N.W.2d 561,In re N.C.C.,13193|13194
18034,969 N.W.2d 442,Inc.,17947|17948
18014,2004 ND 8,"In re
W.O.",13931|13932
18014,673 N.W.2d 264,,13931|13932
19708,969 N.W.2d 442,Inc.,17947|17948
17995,2008 ND 51,In re B.B.,14926|14927
17995,746 N.W.2d 411,In re B.B.,14926|14927
17951,2000 ND 101,"State
ex rel. D.D. v. G.K.",13168|13169
17951,611 N.W.2d 179,"State
ex rel. D.D. v. G.K.",13168|13169
17964,670 N.W.2d 864,,13896|13897
17945,2000 ND 203,Logan v. Bush,13290|13291
17945,621 N.W.2d 314,Logan v. Bush,13290|13291
17926,2008 ND 185,In re R.A.S.,15061|15062
17926,756 N.W.2d 771,In re R.A.S.,15061|15062
19608,2000 ND 222,In re C.R.H.,13281|13282
19608,620 N.W.2d 175,In re C.R.H.,13281|13282
19613,2009 ND 19,In re Adoption of H.G.C.,15144|15145
19613,761 N.W.2d 565,In re Adoption of H.G.C.,15144|15145
19613,2002 ND 111,In re R.K.,13592|13593
19613,646 N.W.2d 699,In re R.K.,13592|13593
17879,2012 ND 91,Inc.,15846|15849
17879,816 N.W.2d 80,,15846|15849
17869,2009 ND 195,In re Conservatorship of T.K.,15297|15298
17869,775 N.W.2d 496,,15297|15298
19596,2010 ND 43,State ex rel. N.D. Dep’t of Labor v. Riemers,15368|15369
19596,779 N.W.2d 649,State ex rel. N.D. Dep’t of Labor v. Riemers,15368|15369
17881,719 N.W.2d 384,,14582|14583
17880,2000 ND 50,"In re
 K.M.G.",13096|13097
17880,607 N.W.2d 248,"In re
 K.M.G.",13096|13097
17855,2010 ND 27,In re H.K.,15353|15354
17855,778 N.W.2d 764,,15353|15354
17855,2010 ND 84,"In
re A.R.",15405|15406
17855,781 N.W.2d 644,"In
re A.R.",15405|15406
17810,744 N.W.2d 724,In re P.F.,14899|14900
17810,2006 ND 56,In re G.R.H.,14479|14480
17810,711 N.W.2d 587,In re G.R.H.,14479|14480
19634,2010 ND 9,In re B.B.,15325|15326
19634,777 N.W.2d 350,In re B.B.,15325|15326
17784,2010 ND 243,Inc.,15556|15557
17784,792 N.W.2d 911,,15556|15557
17757,780 N.W.2d 688,,15398|15399
17756,2006 ND 56,In re G.R.H.,14479|14480
