oid	cite	para	db_digits	pdf_digits
12589	1998ND25	5	1 2 1 221 1995 1997 3 1 4 2001 5 1998 6 7 6 72 200 1 72 8	1 1 2 1 221 1995 1997 3 1 4 2001 5 1998 6 7 6 72 1 72 8
12589	1998ND25	13	3 1998	
12589	1998ND25	16	1997 201 23	1997 23
12589	1998ND25	18	46 6 8 52 8 8 84	46 6 8 52 8 3 84
12589	1998ND25	23	1999 202	1999
12589	1998ND25	33	6 72 203	6 72
12604	1998ND14	7	1 799	1
12604	1998ND14	8	14 02 4	14 02 4 1
12604	1998ND14	13	1 14 02 4 2 3 800	1 14 02 4 2 3
12604	1998ND14	21	503 2 228 801	503 2 228
12604	1998ND14	22	1	
12605	1998ND17	1	802	
12605	1998ND17	2	1993 30 1991 378 4 30 7 30 4 00 7 00	1993 1991 378 4 30 7 30 4 00 7 00
12605	1998ND17	3	1 1 1997 1997	1 1 1997 1997 1
12605	1998ND17	7	1997 61 32 34 560 2 903 803 1 2 3 4	1997 61 32 34 560 2 903 1 2 3 4
12605	1998ND17	13	2 804 6 50	2 6 50 2
12605	1998ND17	18		970210
12605	1998ND17	21	8 59 805	8 59
12623	1998ND13	3	1	1 1997 60 561 2 599
12623	1998ND13	4	5	
12623	1998ND13	8	206 14 1995 9 529 2 853 855 1995 425 2 918 920 1988 29 21 14	14 1995
12623	1998ND13	14	425 2 918 921 1988 264 2 446	425 2 918 921 1988 264
12623	1998ND13	15	449 2 784 1989 788 89 207 786 60 786	449 2 784 1989 788 89 786 60 786
12623	1998ND13	17	506 2 408 410 1993 581 2 284 288 1995 520 2 570	506 2 408 410 1993 531 2 284 288 1995 520 2 570
12623	1998ND13	20	1997 228 28 571 2 642 540 2 599 601 1995	1997 228 23 540 2 599 601 1995
12623	1998ND13	21	12 1 32 04 1 2 208	12 1 32 04 1 2
12623	1998ND13	22	1997 60 561 2 599 23	
12624	1998ND39	1	12 1 18 03 1 2	12 1 18 03 1
12624	1998ND39	3	1996 23 1996 30 1996 20 1996 22 1996 114 7 1997 20 1996 7 1997 22 1996	1996 23 1996 30 1996 20 1996 22 1996
12624	1998ND39	5	401 403 1997 7 8 559 2 802	403 1997 7 8 559 2 802
12624	1998ND39	7	210 12 1 18 03 1 2	12 1 18 03 1 2
12624	1998ND39	12	12 1 18 03 2 211 1996 22 1996 12 1 18 03 2	12 1 18 03 2 1996 22 1996 12 1 18 03 2
12733	1998ND151	3	14 1996 111	14 1996
12733	1998ND151	6	21 1996 7	21 1996
12733	1998ND151	9	399 149 157 64 90 1930 26 2 489 1970 71 3 319 320 21 8 1995 32 3 381 385 86 8 1994 3 3 342 351 52 10 1993 933 2 1471 1473 74 8 1991 920 2 1247 1255 5 1991 524 2 659 664 1994	399 149 157 64 1970 71 3 319 320 21 8 1995 32 3 381 385 86 8 1994 3 3 342 351 52 10 1993 933 2 1471 1473 74 8 1991 920 2 1247 1255 5 1991 1 12 458 2 288 291 1990 524 2 659 664 1994
12733	1998ND151	10	933 2 1474 3 3 352 352 484 554 559 60 108 838 98 2 951 1988 474 15 20 106 292 88 2 15 1985 112	933 2 1474 3 3 352 352 484 554 559 60 1988 474 15 20 1985
12733	1998ND151	12	497 805 813 14 110 3139 111 2 638 1990 813 110 3139 497 814 16 110 3139	497 805 813 14 1990 813 497 814 16
12733	1998ND151	15	497 821 22 110 3139 803 24	497 821 22 803 24
12733	1998ND151	16	113	
12733	1998ND151	25	114	
12733	1998ND151	27		46 703 46 703 703
12733	1998ND151	28	549 2 193 195 1996 466 668 104 2052 80 2 674 1984 1997 8 18 560 2 194	549 2 193 195 1996 466 668 1984 1997 8 18 560 2 194
12733	1998ND151	31	1 12 458 2 288 291 1990 2 703 3 703 703	
12739	1998ND148	2	1996 22 1996 23 1996 393 17 1996	1996 22 1996 23 1996 17 1996
12739	1998ND148	8	21 1996	
12739	1998ND148	12	419 2 166 168 1988 397 2 59 66 1986 395	419 2 166 168 1988 397 2 59 66 1986
12739	1998ND148	16	397 2 59 63 1986 396 803 4	397 2 59 63 1986 803 4
12739	1998ND148	19	397	
12739	1998ND148	25	419 2 166 1988 398 43	419 2 166 1988 43
12747	1998ND171	1		811 6 54 8 1995 1
12747	1998ND171	2	8 1 1995	
12747	1998ND171	8		548 2
12747	1998ND171	9	54 1997 40 7 560 2 532 54 54	54 2 781 82 418 1988 560 2 532 54 54 7 40 1997 41 10 11 418 2 781 82 10 35
12747	1998ND171	13	15 1998 10 10	10 10
12747	1998ND171	14		15 28 1998 1998 166 970392 15 1998 812 54 787 54 370 781 54
12767	1998ND190	4	1997 780 42 137	1997 780 42
12767	1998ND190	9	174 50 75 02 04 1 13 14 09 09 7 3 1998 117 5 579 2 207 138 174 50	174 50 75 02 04 1 13 14 09 09 7 3 1998 117 5 579 2 207 174 50
12767	1998ND190	14	29 1997 1 1997 139	29 1997 1 1997
12770	1998ND186	2	1979 1 1980 20 1982 1991 1993 578 68 1993 1994 1996 1997 1 1997	1979 1 1980 20 1982 1991 1993 68 1993 1994 1996 1997 1 1997
12770	1998ND186	7	2 4 579	2 4
12770	1998ND186	12	1997 94 15 563 2 394 545 2 785 789 1996 75 02 04 1 02 2 75 02 04 1 02 2 580	1997 94 15 563 2 394 545 2 785 789 1996 75 02 04 1 02 2 75 02 04 1 02 2
12770	1998ND186	16	27 10 01 4 27 10 01 1 1 100	27 10 01 4 1 27 10 01 1 1 100
12773	1998ND193	5	43 17 31 1 804 43 17 30 1 1	43 17 31 1 43 17 30 1 1
