citation,version_id,prev,next,context
N.D.C.C. § 10-01.1-02,191,of,d,or relationship that is not a partnership by reason of section d. A decedent's estate; or e. A government or g
N.D.C.C. § 10-04-06,213,of,securities,ce of this exemption will not result in a violation of section securities unless such subsequent offers and sa
N.D.C.C. § 10-06.1-09,251,of,who,in the degrees of kinship specified in subsection 2 of section who farms or ranches the land as a sole proprie
N.D.C.C. § 10-06.1-22,269,and,, with the secretary of state by section 10-06.1-17 and section
N.D.C.C. § 10-15-08.1,301,under,within,nvoluntarily dissolved by the secretary of state under section within the time provided in section 10-15-53.3 
N.D.C.C. § 10-15-08.1,301,under,within,nvoluntarily dissolved by the secretary of state under section within the time provided in section 10-15-53.3 
N.D.C.C. § 10-15-52.5,354,of,application,"nds that the application conforms to the provisions of section application the word ""filed"", and the month, da"
N.D.C.C. § 10-19.1-01,373,with,, of shares held by each shareholder in accordance with section
N.D.C.C. § 10-19.1-18,394,of,have,"tate. If a statement filed pursuant to subsection 4 of section have the status of authorized but unissued, und"
N.D.C.C. § 10-19.1-31,407,to,,"f the incorporators, or by the first board pursuant to section"
N.D.C.C. § 10-19.1-61,438,under,series,"resolution approved by the directors as required under section series, and fixing the relative rights and pref"
N.D.C.C. § 10-19.1-70,448,of,securities,certificated shares in accordance with subsection 6 of section securities or a successor or transferee of the 
N.D.C.C. § 10-19.1-75.2,460,of,,may be given in the manner provided in subsection 4 of section
N.D.C.C. § 10-19.1-76.2,464,to,been,"ate, in a meeting by remote communication according to section been entitled to participate by remote communic"
N.D.C.C. § 10-19.1-76.2,464,to,c,"ed to participate by remote communication according to section c. A copy, facsimile telecommunication, or othe"
N.D.C.C. § 10-19.1-82,471,of,regarding,greement. The agreement may override the provisions of section regarding voting trusts.
N.D.C.C. § 10-19.1-92,481,under,met,"d, reasonable in the circumstances. No liability under section met. 3. With respect to the effect of a distrib"
N.D.C.C. § 10-19.1-100,489,by,governing, by the present directors of the parent as required by section governing body of the parent as required by its
N.D.C.C. § 10-19.1-104.6,501,of,conversion,ective when the filing requirements of subsection 2 of section conversion. 2. With respect to the effect of co
N.D.C.C. § 10-19.1-108,505,with,corporate, revoke the dissolution proceedings in accordance with section corporate existence continues to the extent nec
N.D.C.C. § 10-19.1-135,534,in,duly,must be accompanied by payment of the fees provided in section duly authenticated by the incorporating officer
N.D.C.C. § 10-19.1-146,546,in,apply,"f state for correction, then the penalties provided in section apply. 5. Three months after the date provided "
N.D.C.C. § 10-32.1-11,633,in,b,"ny"" or the abbreviations of these words as provided in subsection b; d. May not contain a word or phrase that "
N.D.C.C. § 10-32.1-11,633,of,limited,filing as provided in subdivision b of subsection 2 of section Limited liability company name. (Contingent eff
N.D.C.C. § 10-32.1-11,633,in,b,"ny"" or the abbreviations of these words as provided in subsection b; d. May not contain a word or phrase indic"
N.D.C.C. § 10-32.1-11,633,of,,filing as provided in subdivision b of subsection 2 of section
