citing_oid	citing_date	nd_cite	nw_cite	class	fix	context
18249	1997-02-12	1997 ND 12	565 N.W.2d 505	OTHER		"itations: - ""1997 ND 12"" docket_number: ""970005"" --- In the Interest of M.G., 1997 ND 12, 565 N.W.2d 505 --- IN T"
18251	1997-02-12	1997 ND 13	565 N.W.2d 505	OTHER		"-02-12 citations: - ""1997 ND 13"" docket_number: ""960224"" --- State v. Goebel, 1997 ND 13, 565 N.W.2d 505 --- IN T"
18270	1997-02-14	1997 ND 26	565 N.W.2d 505	OTHER		"02-13 citations: - ""1997 ND 26"" docket_number: ""960212"" --- Sailer v. Goodno, 1997 ND 26, 565 N.W.2d 505 --- IN T"
18271	1997-02-14	1997 ND 27	565 N.W.2d 505	OTHER		"docket_number: ""960268"" --- Hulstrand Construction v. James Cape & Sons, Co., 1997 ND 27, 565 N.W.2d 505 --- IN T"
18272	1997-03-20	1997 ND 42	565 N.W.2d 505	OTHER		"03-20 citations: - ""1997 ND 42"" docket_number: ""960341"" --- Amrein v. Amrein, 1997 ND 42, 565 N.W.2d 505 --- IN T"
18273	1997-03-26	1997 ND 45	565 N.W.2d 505	OTHER		Fair v. Fair, 1997 ND 45, 565 N.W.2d 505|N.D. Supr
18273	1997-03-26	1997 ND 45	565 N.W.2d 505	OTHER		Fair v. Fair, 1997 ND 45, 565 N.W.2d 505|N.D. Supreme Court| Fair v. Fair, 1997 ND 45, 565 N.W.2d 505 [Go to D
18274	1997-04-01	1997 ND 53	565 N.W.2d 505	OTHER		"itations: - ""1997 ND 53"" docket_number: ""960338"" --- Dvorak v. AgriBank, FCB, 1997 ND 53, 565 N.W.2d 505 --- IN T"
18275	1997-04-22	1997 ND 67	565 N.W.2d 505	OTHER		"-22 citations: - ""1997 ND 67"" docket_number: ""960219"" --- State v. Holy Bear, 1997 ND 67, 565 N.W.2d 505 --- IN T"
18276	1997-04-22	1997 ND 68	565 N.W.2d 505	OTHER		"-04-22 citations: - ""1997 ND 68"" docket_number: ""960240"" --- Barnes v. Gates, 1997 ND 68, 565 N.W.2d 505 --- IN T"
18277	1997-04-22	1997 ND 70	565 N.W.2d 505	OTHER		"70"" docket_number: ""960296"" --- Johnson v. Schmit Brothers Construction, Inc., 1997 ND 70, 565 N.W.2d 505 --- IN T"
18278	1997-05-13	1997 ND 85	569 N.W.2d 288	DB_NO_PARALLEL		"7-05-13 citations: - ""1997 ND 85"" docket_number: ""960332"" --- Hintz v. Hintz, 1997 ND 85, 569 N.W.2d 288 --- IN T"
18279	1997-05-13	1997 ND 86	592 N.W.2d 923	DB_NO_PARALLEL		"-05-13 citations: - ""1997 ND 86"" docket_number: ""960322"" --- State v. Rieger, 1997 ND 86, 592 N.W.2d 923 --- IN T"
18280	1997-05-13	1997 ND 87	569 N.W.2d 288	DB_NO_PARALLEL		"-05-13 citations: - ""1997 ND 87"" docket_number: ""970011"" --- Huber v. Dooher, 1997 ND 87, 569 N.W.2d 288 --- IN T"
18281	1997-05-13	1997 ND 90	569 N.W.2d 288	DB_NO_PARALLEL		Kuller v. Kuller, 1997 ND 90, 569 N.W.2d 288|N.D. Supr
18281	1997-05-13	1997 ND 90	569 N.W.2d 288	DB_NO_PARALLEL		er v. Kuller, 1997 ND 90, 569 N.W.2d 288|N.D. Supreme Court| Kuller v. Kuller, 1997 ND 90, 569 N.W.2d 288 [Go to D
18248	1997-06-03	1997 ND 106	569 N.W.2d 288	DB_NO_PARALLEL		"1997 ND 106"" docket_number: ""970029"" --- Wittmayer v. ND Workers Comp. Bureau, 1997 ND 106, 569 N.W.2d 288 --- IN T"
18250	1997-06-24	1997 ND 121	569 N.W.2d 288	DB_NO_PARALLEL		"-24 citations: - ""1997 ND 121"" docket_number: ""960324"" --- State v. DeCoteau, 1997 ND 121, 569 N.W.2d 288 --- IN T"
18252	1997-07-17	1997 ND 136	575 N.W.2d 224	DB_NO_PARALLEL		"-07-17 citations: - ""1997 ND 136"" docket_number: ""970089"" --- Lange v. State, 1997 ND 136, 575 N.W.2d 224 --- IN T"
12615	1998-03-05	1997 ND 232	571 N.W.2d 64	OTHER		ld support guidelines found in N.D.A.C. Ch. 75-02-04.1. Otterson v. Otterson, 1997 ND 232, ¶8, 571 N.W.2d 64. If the
12665	1998-04-28	1997 ND 69	662 N.W.2d 658	OTHER		amount of $5,000 per *133 year, not in one lump sum. *See Moch v. Moch,* 1997 ND 69, ¶20, 662 N.W.2d 658 (“The jud
18310	1998-04-28	1997 ND 183	575 N.W.2d 224	DB_NO_PARALLEL		lenging the sufficiency of the evidence. We summarily affirmed. State v. Novak, 1997 ND 183, 575 N.W.2d 224. On reman
12761	1998-09-29	1997 ND 21	560 N.W.2d 230	OTHER		he touchstone of trademark infringement is confusion, not competition. *Kat,* 1997 ND 21, ¶ 17, 560 N.W.2d 230. Even whe
12775	1998-11-19	1997 ND 121	569 N.W.2d 288	DB_NO_PARALLEL		ovided ineffective assistance of counsel. This Court, in *State v. DeCoteau,* 1997 ND 121, ¶ 1, 569 N.W.2d 288, summaril
13050	1999-12-03	1998 ND 122	5801 N.W.2d 139	OTHER		ta Constitution and N.D.C.C. § 27-02-04. *State ex rel. Heitkamp v. Hagerty,* 1998 ND 122, ¶ 6, 5801 N.W.2d 139. This au
13113	2000-03-21	1997 ND 121	569 N.W.2d 288	DB_NO_PARALLEL		n. After this Court summarily affirmed the conviction in *State v. DeCoteau,* 1997 ND 121, 569 N.W.2d 288, DeCoteau
13257	2000-12-07	2000 ND 185	618 N.W.2d 487	OTHER		sistance of counsel and others brought pro se. *See also Syvertson v. State,* 2000 ND 185, 618 N.W.2d 487. For the
13414	2001-07-10	2000 ND 19	606 N.W.2d 108	OTHER		een as evidence of bad faith. *Strom-Sell v. Council for Concerned Citizens,* 2000 ND 19, ¶ 2, 606 N.W.2d 108. *78
18440	2002-04-16	1999 ND 22	592 N.W.2d 923	DB_NO_PARALLEL		tion of his probation were resolved in prior proceedings. See State v. Vincent, 1999 ND 22, 592 N.W.2d 923 (summaril
13580	2002-05-17	2001 ND 128	636 N.W.2d 674	DB_NO_PARALLEL		sts under N.D.R.App. 38 and 39. *Matrix Properties Corp. v. TAG Investments,* 2001 ND 128, 636 N.W.2d 674 *(Matrix
13584	2002-06-04	1999 ND 40	592 N.W.2d 923	DB_NO_PARALLEL		.W.2d 4; Clarys v. Ford Motor Co., 1999 ND 72, 592 N.W.2d 573; State v. Palmer, 1999 ND 40, 592 N.W.2d 923; State v.
13584	2002-06-04	1999 ND 41	592 N.W.2d 923	DB_NO_PARALLEL		92 N.W.2d 573; State v. Palmer, 1999 ND 40, 592 N.W.2d 923; State v. Martineau, 1999 ND 41, 592 N.W.2d 923; Lawrence
