year	nd_or_nw	page	n	class	oid	provisional_cite	nd_cite	nw_cite	needs_image
1894-02-19	ND	3 N.D. 538	2	ND_TRULY_TIED	5274	1894 ND 6	3 N.D. 538	58 N.W. 339	yes
1894-02-19	ND	3 N.D. 538	2	ND_TRULY_TIED	5275	1894 ND 7	3 N.D. 538	58 N.W. 339	yes
1900-11-13	ND	9 N.D. 608	2	ND_TRULY_TIED	5754	1900 ND 66	9 N.D. 608	84 N.W. 1117	yes
1900-11-13	ND	9 N.D. 608	2	ND_TRULY_TIED	20489	1900 ND 67	9 N.D. 608	84 N.W. 1117	yes
1900-11-13	ND	9 N.D. 609	3	ND_TRULY_TIED	5753	1900 ND 68	9 N.D. 609	84 N.W. 1117	yes
1900-11-13	ND	9 N.D. 609	3	ND_TRULY_TIED	20490	1900 ND 69	9 N.D. 609	84 N.W. 1117	yes
1900-11-13	ND	9 N.D. 609	3	ND_TRULY_TIED	20491	1900 ND 70	9 N.D. 609	84 N.W. 1117	yes
1900-11-13	ND	9 N.D. 610	3	ND_TRULY_TIED	5752	1900 ND 71	9 N.D. 610	84 N.W. 1117	yes
1900-11-13	ND	9 N.D. 610	3	ND_TRULY_TIED	20492	1900 ND 72	9 N.D. 610	84 N.W. 1117	yes
1900-11-13	ND	9 N.D. 610	3	ND_TRULY_TIED	20493	1900 ND 73	9 N.D. 610	84 N.W. 1117	yes
1900-11-13	ND	9 N.D. 611	3	ND_TRULY_TIED	5751	1900 ND 74	9 N.D. 611	84 N.W. 1117	yes
1900-11-13	ND	9 N.D. 611	3	ND_TRULY_TIED	20494	1900 ND 75	9 N.D. 611	84 N.W. 1118	yes
1900-11-13	ND	9 N.D. 611	3	ND_TRULY_TIED	20500	1900 ND 76	9 N.D. 611	84 N.W. 1118	yes
1900-11-13	ND	9 N.D. 612	3	ND_TRULY_TIED	5750	1900 ND 77	9 N.D. 612	84 N.W. 1118	yes
1900-11-13	ND	9 N.D. 612	3	ND_TRULY_TIED	20495	1900 ND 78	9 N.D. 612	84 N.W. 1118	yes
1900-11-13	ND	9 N.D. 612	3	ND_TRULY_TIED	20496	1900 ND 79	9 N.D. 612	84 N.W. 1118	yes
1900-11-13	ND	9 N.D. 613	3	ND_TRULY_TIED	5749	1900 ND 80	9 N.D. 613	84 N.W. 1118	yes
1900-11-13	ND	9 N.D. 613	3	ND_TRULY_TIED	20497	1900 ND 81	9 N.D. 613	84 N.W. 1118	yes
1900-11-13	ND	9 N.D. 613	3	ND_TRULY_TIED	20501	1900 ND 82	9 N.D. 613	84 N.W. 1118	yes
1900-11-13	ND	9 N.D. 614	2	ND_TRULY_TIED	5748	1900 ND 83	9 N.D. 614	84 N.W. 1118	yes
1900-11-13	ND	9 N.D. 614	2	ND_TRULY_TIED	20502	1900 ND 84	9 N.D. 614	84 N.W. 1118	yes
1900-12-08	ND	9 N.D. 615	2	ND_NW_ORDERABLE	5774	1900 ND 106	9 N.D. 615	84 N.W. 552	verify-ND-order
1900-12-08	ND	9 N.D. 615	2	ND_NW_ORDERABLE	5747	1900 ND 107	9 N.D. 615	84 N.W. 1119	verify-ND-order
1901-10-25	ND	10 N.D. 400	2	ND_NW_ORDERABLE	5849	1901 ND 48	10 N.D. 400	87 N.W. 996	verify-ND-order
1901-10-25	ND	10 N.D. 400	2	ND_NW_ORDERABLE	5834	1901 ND 49	10 N.D. 400	87 N.W. 1135	verify-ND-order
1904-10-10	ND	13 N.D. 387	2	ND_NW_ORDERABLE	6	1904 ND 57	13 N.D. 387	100 N.W. 1084	verify-ND-order
1904-10-10	ND	13 N.D. 387	2	ND_NW_ORDERABLE	45	1904 ND 58	13 N.D. 387	101 N.W. 897	verify-ND-order
1905-11-20	ND	14 N.D. 557	2	ND_NW_ORDERABLE	146	1905 ND 89	14 N.D. 557	105 N.W. 717	verify-ND-order
1905-11-20	ND	14 N.D. 557	2	ND_NW_ORDERABLE	152	1905 ND 90	14 N.D. 557	105 N.W. 734	verify-ND-order
1907-02-20	ND	16 N.D. 59	2	ND_NW_ORDERABLE	274	1907 ND 9	16 N.D. 59	111 N.W. 614	verify-ND-order
1907-02-20	ND	16 N.D. 59	2	ND_NW_ORDERABLE	276	1907 ND 10	16 N.D. 59	111 N.W. 615	verify-ND-order
1908-03-20	ND	17 N.D. 266	2	ND_NW_ORDERABLE	382	1908 ND 40	17 N.D. 266	115 N.W. 833	verify-ND-order
1908-03-20	ND	17 N.D. 266	2	ND_NW_ORDERABLE	383	1908 ND 41	17 N.D. 266	115 N.W. 834	verify-ND-order
1908-11-19	ND	18 N.D. 76	2	ND_NW_ORDERABLE	458	1908 ND 105	18 N.D. 76	118 N.W. 820	verify-ND-order
1908-11-19	ND	18 N.D. 76	2	ND_NW_ORDERABLE	20386	1908 ND 106	18 N.D. 76	118 N.W. 823	verify-ND-order
1909-04-16	ND	19 N.D. 57	2	ND_TRULY_TIED	499	1909 ND 41	19 N.D. 57	120 N.W. 874	yes
1909-04-16	ND	19 N.D. 57	2	ND_TRULY_TIED	20498	1909 ND 42	19 N.D. 57	120 N.W. 874	yes
1910-06-03	ND	20 N.D. 370	2	ND_TRULY_TIED	674	1910 ND 86	20 N.D. 370	127 N.W. 78	yes
1910-06-03	ND	20 N.D. 370	2	ND_TRULY_TIED	675	1910 ND 87	20 N.D. 370	127 N.W. 78	yes
1910-06-03	ND	20 N.D. 372	2	ND_NW_ORDERABLE	672	1910 ND 89	20 N.D. 372	127 N.W. 78	verify-ND-order
1910-06-03	ND	20 N.D. 372	2	ND_NW_ORDERABLE	680	1910 ND 90	20 N.D. 372	127 N.W. 95	verify-ND-order
1910-09-17	ND	20 N.D. 412	2	ND_NW_ORDERABLE	683	1910 ND 109	20 N.D. 412	127 N.W. 995	verify-ND-order
1910-09-17	ND	20 N.D. 412	2	ND_NW_ORDERABLE	692	1910 ND 110	20 N.D. 412	128 N.W. 115	verify-ND-order
1910-10-21	ND	21 N.D. 69	2	ND_NW_ORDERABLE	699	1910 ND 126	21 N.D. 69	128 N.W. 307	verify-ND-order
1910-10-21	ND	21 N.D. 69	2	ND_NW_ORDERABLE	733	1910 ND 127	21 N.D. 69	129 N.W. 925	verify-ND-order
1911-03-28	ND	21 N.D. 348	2	ND_NW_ORDERABLE	765	1911 ND 31	21 N.D. 348	131 N.W. 246	verify-ND-order
